Incorrect_SKU,Tenant,error
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2de69c5c55c12e0ab412', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2de7b46c0169aef8c81d', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2de815b348c0141508b1', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2de9e2fe40f04e65ca03', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2dea671c00a67001910d', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2debac6819b2b568214d', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2deb671c00a67001910f', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2dec6eb78d2dfd74aafe', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2ded58036904cb74f118', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2dee817d97f84f2a5080', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2defaa8669fafa766ee1', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2df1f51febecab8d1605', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2df25011d58560a45b32', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2df320008b2e72a8300d', 'code': 6}"
testing_SKU,12th-gate-napa-valley,"{'message': 'A product with sku testing_SKU already exists', 'operation': 'product_create', 'field': 'product_create', 'request_id': '641b2df3208f9639b043a933', 'code': 6}"
